TableName,ColumnName,DataType
Products,ProductID,int
Products,ProductName,string
Products,Category,string
Products,SubCategory,string
Products,Brand,string
Products,CostPrice,double
Customers,CustomerID,int
Customers,FirstName,string
Customers,LastName,string
Customers,Email,string
Customers,Phone,string
Customers,City,string
Customers,State,string
Customers,LastUpdated,date
Orders,OrderID,int
Orders,CustomerID,int
Orders,ProductID,int
Orders,OrderDate,date
Orders,Quantity,int
Orders,UnitPrice,double
Orders,StoreCode,string
ExchangeRates,BaseCurrency,string
ExchangeRates,TargetCurrency,string
ExchangeRates,ExchangeRate,double
ExchangeRates,RateDate,date
